,len,num_of_ray_hit,time,color
978,lenses[0],9,163,450.0
979,lenses[1],5,163,450.0
980,lenses[2],0,163,0
981,lenses[3],0,163,0
982,lenses[4],0,163,0
983,len0,0,163,0
984,lenses[0],9,164,450.0
985,lenses[1],5,164,450.0
986,lenses[2],0,164,0
987,lenses[3],0,164,0
988,lenses[4],0,164,0
989,len0,0,164,0
990,lenses[0],9,165,450.0
991,lenses[1],5,165,450.0
992,lenses[2],0,165,0
993,lenses[3],0,165,0
994,lenses[4],0,165,0
995,len0,0,165,0
996,lenses[0],9,166,450.0
997,lenses[1],5,166,450.0
998,lenses[2],0,166,0
999,lenses[3],0,166,0
1000,lenses[4],0,166,0
1001,len0,0,166,0
1002,lenses[0],9,167,450.0
1003,lenses[1],5,167,450.0
1004,lenses[2],0,167,0
1005,lenses[3],0,167,0
1006,lenses[4],0,167,0
1007,len0,0,167,0
1008,lenses[0],9,168,450.0
1009,lenses[1],5,168,450.0
1010,lenses[2],0,168,0
1011,lenses[3],0,168,0
1012,lenses[4],0,168,0
1013,len0,0,168,0
1014,lenses[0],9,169,450.0
1015,lenses[1],4,169,450.0
1016,lenses[2],0,169,0
1017,lenses[3],0,169,0
1018,lenses[4],0,169,0
1019,len0,0,169,0
1020,lenses[0],9,170,450.0
1021,lenses[1],5,170,450.0
1022,lenses[2],0,170,0
1023,lenses[3],0,170,0
1024,lenses[4],0,170,0
1025,len0,0,170,0
1026,lenses[0],9,171,450.0
1027,lenses[1],5,171,450.0
1028,lenses[2],0,171,0
1029,lenses[3],0,171,0
1030,lenses[4],0,171,0
1031,len0,0,171,0
1032,lenses[0],9,172,450.0
1033,lenses[1],5,172,450.0
1034,lenses[2],0,172,0
1035,lenses[3],0,172,0
1036,lenses[4],0,172,0
1037,len0,0,172,0
1038,lenses[0],9,173,450.0
1039,lenses[1],5,173,450.0
1040,lenses[2],0,173,0
1041,lenses[3],0,173,0
1042,lenses[4],0,173,0
1043,len0,0,173,0
1044,lenses[0],9,174,450.0
1045,lenses[1],5,174,450.0
1046,lenses[2],0,174,0
1047,lenses[3],0,174,0
1048,lenses[4],0,174,0
1049,len0,0,174,0
1050,lenses[0],9,175,450.0
1051,lenses[1],5,175,450.0
1052,lenses[2],0,175,0
1053,lenses[3],0,175,0
1054,lenses[4],0,175,0
1055,len0,0,175,0
1056,lenses[0],9,176,450.0
1057,lenses[1],5,176,450.0
1058,lenses[2],0,176,0
1059,lenses[3],0,176,0
1060,lenses[4],0,176,0
1061,len0,0,176,0
1062,lenses[0],9,177,450.0
1063,lenses[1],5,177,450.0
1064,lenses[2],0,177,0
1065,lenses[3],0,177,0
1066,lenses[4],0,177,0
1067,len0,0,177,0
1068,lenses[0],9,178,450.0
1069,lenses[1],4,178,450.0
1070,lenses[2],0,178,0
1071,lenses[3],0,178,0
1072,lenses[4],0,178,0
1073,len0,1,178,450.0
1074,lenses[0],9,179,450.0
1075,lenses[1],5,179,450.0
1076,lenses[2],0,179,0
1077,lenses[3],0,179,0
1078,lenses[4],0,179,0
1079,len0,0,179,0
1080,lenses[0],9,180,450.0
1081,lenses[1],5,180,450.0
1082,lenses[2],0,180,0
1083,lenses[3],0,180,0
1084,lenses[4],0,180,0
1085,len0,0,180,0
1086,lenses[0],9,181,450.0
1087,lenses[1],5,181,450.0
1088,lenses[2],0,181,0
1089,lenses[3],0,181,0
1090,lenses[4],0,181,0
1091,len0,0,181,0
1092,lenses[0],9,182,450.0
1093,lenses[1],5,182,450.0
1094,lenses[2],0,182,0
1095,lenses[3],0,182,0
1096,lenses[4],0,182,0
1097,len0,0,182,0
1098,lenses[0],9,183,450.0
1099,lenses[1],5,183,450.0
1100,lenses[2],0,183,0
1101,lenses[3],0,183,0
1102,lenses[4],0,183,0
1103,len0,0,183,0
1104,lenses[0],9,184,450.0
1105,lenses[1],5,184,450.0
1106,lenses[2],0,184,0
1107,lenses[3],0,184,0
1108,lenses[4],0,184,0
1109,len0,0,184,0
1110,lenses[0],9,185,450.0
1111,lenses[1],5,185,450.0
1112,lenses[2],0,185,0
1113,lenses[3],0,185,0
1114,lenses[4],0,185,0
1115,len0,0,185,0
1116,lenses[0],9,186,450.0
1117,lenses[1],4,186,450.0
1118,lenses[2],0,186,0
1119,lenses[3],0,186,0
1120,lenses[4],0,186,0
1121,len0,0,186,0
1122,lenses[0],9,187,450.0
1123,lenses[1],5,187,450.0
1124,lenses[2],0,187,0
1125,lenses[3],0,187,0
1126,lenses[4],0,187,0
1127,len0,0,187,0
1128,lenses[0],9,188,450.0
1129,lenses[1],5,188,450.0
1130,lenses[2],0,188,0
1131,lenses[3],0,188,0
1132,lenses[4],0,188,0
1133,len0,0,188,0
1134,lenses[0],9,189,450.0
1135,lenses[1],5,189,450.0
1136,lenses[2],0,189,0
1137,lenses[3],0,189,0
1138,lenses[4],0,189,0
1139,len0,0,189,0
1140,lenses[0],9,190,450.0
1141,lenses[1],5,190,450.0
1142,lenses[2],0,190,0
1143,lenses[3],0,190,0
1144,lenses[4],0,190,0
1145,len0,0,190,0
1146,lenses[0],9,191,450.0
1147,lenses[1],5,191,450.0
1148,lenses[2],0,191,0
1149,lenses[3],0,191,0
1150,lenses[4],0,191,0
1151,len0,0,191,0
1152,lenses[0],9,192,500.0
1153,lenses[1],5,192,500.0
1154,lenses[2],0,192,0
1155,lenses[3],0,192,0
1156,lenses[4],0,192,0
1157,len0,0,192,0
1158,lenses[0],9,193,500.0
1159,lenses[1],5,193,500.0
1160,lenses[2],0,193,0
1161,lenses[3],0,193,0
1162,lenses[4],0,193,0
1163,len0,0,193,0
1164,lenses[0],9,194,500.0
1165,lenses[1],5,194,500.0
1166,lenses[2],0,194,0
1167,lenses[3],0,194,0
1168,lenses[4],0,194,0
1169,len0,0,194,0
1170,lenses[0],9,195,500.0
1171,lenses[1],5,195,500.0
1172,lenses[2],0,195,0
1173,lenses[3],0,195,0
1174,lenses[4],0,195,0
1175,len0,0,195,0
1176,lenses[0],9,196,500.0
1177,lenses[1],5,196,500.0
1178,lenses[2],0,196,0
1179,lenses[3],0,196,0
1180,lenses[4],0,196,0
1181,len0,0,196,0
1182,lenses[0],9,197,500.0
1183,lenses[1],5,197,500.0
1184,lenses[2],0,197,0
1185,lenses[3],0,197,0
1186,lenses[4],0,197,0
1187,len0,0,197,0
1188,lenses[0],9,198,500.0
1189,lenses[1],5,198,500.0
1190,lenses[2],0,198,0
1191,lenses[3],0,198,0
1192,lenses[4],0,198,0
1193,len0,0,198,0
1194,lenses[0],9,199,500.0
1195,lenses[1],5,199,500.0
1196,lenses[2],0,199,0
1197,lenses[3],0,199,0
1198,lenses[4],0,199,0
1199,len0,0,199,0
1200,lenses[0],9,200,500.0
1201,lenses[1],5,200,500.0
1202,lenses[2],0,200,0
1203,lenses[3],0,200,0
1204,lenses[4],0,200,0
1205,len0,0,200,0
1206,lenses[0],9,201,500.0
1207,lenses[1],5,201,500.0
1208,lenses[2],0,201,0
1209,lenses[3],0,201,0
1210,lenses[4],0,201,0
1211,len0,0,201,0
1212,lenses[0],9,202,500.0
1213,lenses[1],5,202,500.0
1214,lenses[2],0,202,0
1215,lenses[3],0,202,0
1216,lenses[4],0,202,0
1217,len0,0,202,0
1218,lenses[0],9,203,500.0
1219,lenses[1],5,203,500.0
1220,lenses[2],0,203,0
1221,lenses[3],0,203,0
1222,lenses[4],0,203,0
1223,len0,0,203,0
1224,lenses[0],9,204,500.0
1225,lenses[1],5,204,500.0
1226,lenses[2],0,204,0
1227,lenses[3],0,204,0
1228,lenses[4],0,204,0
1229,len0,0,204,0
1230,lenses[0],9,205,500.0
1231,lenses[1],5,205,500.0
1232,lenses[2],0,205,0
1233,lenses[3],0,205,0
1234,lenses[4],0,205,0
1235,len0,0,205,0
1236,lenses[0],9,206,500.0
1237,lenses[1],5,206,500.0
1238,lenses[2],0,206,0
1239,lenses[3],0,206,0
1240,lenses[4],0,206,0
1241,len0,0,206,0
1242,lenses[0],9,207,500.0
1243,lenses[1],5,207,500.0
1244,lenses[2],0,207,0
1245,lenses[3],0,207,0
1246,lenses[4],0,207,0
1247,len0,0,207,0
1248,lenses[0],9,208,500.0
1249,lenses[1],5,208,500.0
1250,lenses[2],0,208,0
1251,lenses[3],0,208,0
1252,lenses[4],0,208,0
1253,len0,0,208,0
1254,lenses[0],9,209,500.0
1255,lenses[1],5,209,500.0
1256,lenses[2],0,209,0
1257,lenses[3],0,209,0
1258,lenses[4],0,209,0
1259,len0,0,209,0
1260,lenses[0],9,210,500.0
1261,lenses[1],5,210,500.0
1262,lenses[2],0,210,0
1263,lenses[3],0,210,0
1264,lenses[4],0,210,0
1265,len0,0,210,0
1266,lenses[0],9,211,500.0
1267,lenses[1],5,211,500.0
1268,lenses[2],0,211,0
1269,lenses[3],0,211,0
1270,lenses[4],0,211,0
1271,len0,0,211,0
1272,lenses[0],9,212,500.0
1273,lenses[1],5,212,500.0
1274,lenses[2],0,212,0
1275,lenses[3],0,212,0
1276,lenses[4],0,212,0
1277,len0,0,212,0
1278,lenses[0],9,213,500.0
1279,lenses[1],5,213,500.0
1280,lenses[2],0,213,0
1281,lenses[3],0,213,0
1282,lenses[4],0,213,0
1283,len0,0,213,0
1284,lenses[0],9,214,500.0
1285,lenses[1],5,214,500.0
1286,lenses[2],0,214,0
1287,lenses[3],0,214,0
1288,lenses[4],0,214,0
1289,len0,0,214,0
1290,lenses[0],9,215,500.0
1291,lenses[1],5,215,500.0
1292,lenses[2],0,215,0
1293,lenses[3],0,215,0
1294,lenses[4],0,215,0
1295,len0,0,215,0
1296,lenses[0],9,216,500.0
1297,lenses[1],5,216,500.0
1298,lenses[2],0,216,0
1299,lenses[3],0,216,0
1300,lenses[4],0,216,0
1301,len0,0,216,0
1302,lenses[0],9,217,500.0
1303,lenses[1],5,217,500.0
1304,lenses[2],0,217,0
1305,lenses[3],0,217,0
1306,lenses[4],0,217,0
1307,len0,0,217,0
1308,lenses[0],9,218,500.0
1309,lenses[1],5,218,500.0
1310,lenses[2],0,218,0
1311,lenses[3],0,218,0
1312,lenses[4],0,218,0
1313,len0,0,218,0
1314,lenses[0],9,219,500.0
1315,lenses[1],5,219,500.0
1316,lenses[2],0,219,0
1317,lenses[3],0,219,0
1318,lenses[4],0,219,0
1319,len0,0,219,0
1320,lenses[0],9,220,500.0
1321,lenses[1],5,220,500.0
1322,lenses[2],0,220,0
1323,lenses[3],0,220,0
1324,lenses[4],0,220,0
1325,len0,0,220,0
1326,lenses[0],9,221,500.0
1327,lenses[1],5,221,500.0
1328,lenses[2],0,221,0
1329,lenses[3],0,221,0
1330,lenses[4],0,221,0
1331,len0,0,221,0
1332,lenses[0],9,222,500.0
1333,lenses[1],5,222,500.0
1334,lenses[2],0,222,0
1335,lenses[3],0,222,0
1336,lenses[4],0,222,0
1337,len0,0,222,0
1338,lenses[0],9,223,500.0
1339,lenses[1],5,223,500.0
1340,lenses[2],0,223,0
1341,lenses[3],0,223,0
1342,lenses[4],0,223,0
1343,len0,0,223,0
1344,lenses[0],9,224,350.0
1345,lenses[1],5,224,350.0
1346,lenses[2],0,224,0
1347,lenses[3],0,224,0
1348,lenses[4],0,224,0
1349,len0,0,224,0
1350,lenses[0],9,225,350.0
1351,lenses[1],5,225,350.0
1352,lenses[2],0,225,0
1353,lenses[3],0,225,0
1354,lenses[4],0,225,0
1355,len0,0,225,0
1356,lenses[0],9,226,350.0
1357,lenses[1],5,226,350.0
1358,lenses[2],0,226,0
1359,lenses[3],0,226,0
1360,lenses[4],0,226,0
1361,len0,0,226,0
1362,lenses[0],9,227,350.0
1363,lenses[1],5,227,350.0
1364,lenses[2],0,227,0
1365,lenses[3],0,227,0
1366,lenses[4],0,227,0
1367,len0,0,227,0
1368,lenses[0],9,228,350.0
1369,lenses[1],5,228,350.0
1370,lenses[2],0,228,0
1371,lenses[3],0,228,0
1372,lenses[4],0,228,0
1373,len0,0,228,0
1374,lenses[0],9,229,350.0
1375,lenses[1],5,229,350.0
1376,lenses[2],0,229,0
1377,lenses[3],0,229,0
1378,lenses[4],0,229,0
1379,len0,0,229,0
1380,lenses[0],9,230,350.0
1381,lenses[1],5,230,350.0
1382,lenses[2],0,230,0
1383,lenses[3],0,230,0
1384,lenses[4],0,230,0
1385,len0,0,230,0
1386,lenses[0],9,231,350.0
1387,lenses[1],5,231,350.0
1388,lenses[2],0,231,0
1389,lenses[3],0,231,0
1390,lenses[4],0,231,0
1391,len0,0,231,0
1392,lenses[0],9,232,350.0
1393,lenses[1],6,232,350.0
1394,lenses[2],0,232,0
1395,lenses[3],0,232,0
1396,lenses[4],0,232,0
1397,len0,0,232,0
1398,lenses[0],9,233,350.0
1399,lenses[1],5,233,350.0
1400,lenses[2],0,233,0
1401,lenses[3],0,233,0
1402,lenses[4],0,233,0
1403,len0,0,233,0
1404,lenses[0],9,234,350.0
1405,lenses[1],5,234,350.0
1406,lenses[2],0,234,0
1407,lenses[3],0,234,0
1408,lenses[4],0,234,0
1409,len0,0,234,0
1410,lenses[0],9,235,350.0
1411,lenses[1],5,235,350.0
1412,lenses[2],0,235,0
1413,lenses[3],0,235,0
1414,lenses[4],0,235,0
1415,len0,0,235,0
1416,lenses[0],9,236,350.0
1417,lenses[1],5,236,350.0
1418,lenses[2],0,236,0
1419,lenses[3],0,236,0
1420,lenses[4],0,236,0
1421,len0,0,236,0
1422,lenses[0],9,237,350.0
1423,lenses[1],5,237,350.0
1424,lenses[2],0,237,0
1425,lenses[3],0,237,0
1426,lenses[4],0,237,0
1427,len0,0,237,0
1428,lenses[0],9,238,350.0
1429,lenses[1],5,238,350.0
1430,lenses[2],0,238,0
1431,lenses[3],0,238,0
1432,lenses[4],0,238,0
1433,len0,0,238,0
1434,lenses[0],9,239,350.0
1435,lenses[1],5,239,350.0
1436,lenses[2],0,239,0
1437,lenses[3],0,239,0
1438,lenses[4],0,239,0
1439,len0,0,239,0
1440,lenses[0],9,240,350.0
1441,lenses[1],5,240,350.0
1442,lenses[2],0,240,0
1443,lenses[3],0,240,0
1444,lenses[4],0,240,0
1445,len0,0,240,0
1446,lenses[0],9,241,350.0
1447,lenses[1],5,241,350.0
1448,lenses[2],0,241,0
1449,lenses[3],0,241,0
1450,lenses[4],0,241,0
1451,len0,0,241,0
1452,lenses[0],9,242,350.0
1453,lenses[1],5,242,350.0
1454,lenses[2],0,242,0
1455,lenses[3],0,242,0
1456,lenses[4],0,242,0
1457,len0,0,242,0
1458,lenses[0],9,243,350.0
1459,lenses[1],5,243,350.0
1460,lenses[2],0,243,0
1461,lenses[3],0,243,0
1462,lenses[4],0,243,0
1463,len0,0,243,0
1464,lenses[0],9,244,350.0
1465,lenses[1],5,244,350.0
1466,lenses[2],0,244,0
1467,lenses[3],0,244,0
1468,lenses[4],0,244,0
1469,len0,0,244,0
1470,lenses[0],9,245,350.0
1471,lenses[1],5,245,350.0
1472,lenses[2],0,245,0
1473,lenses[3],0,245,0
1474,lenses[4],0,245,0
1475,len0,0,245,0
1476,lenses[0],10,246,374.94624731664067
1477,lenses[1],4,246,350.0
1478,lenses[2],0,246,0
1479,lenses[3],0,246,0
1480,lenses[4],0,246,0
1481,len0,0,246,0
1482,lenses[0],9,247,350.0
1483,lenses[1],1,247,350.0
1484,lenses[2],0,247,0
1485,lenses[3],1,247,350.0
1486,lenses[4],0,247,0
1487,len0,0,247,0
1488,lenses[0],9,248,350.0
1489,lenses[1],2,248,350.0
1490,lenses[2],0,248,0
1491,lenses[3],0,248,0
1492,lenses[4],0,248,0
1493,len0,0,248,0
1494,lenses[0],9,249,350.0
1495,lenses[1],5,249,350.0
1496,lenses[2],0,249,0
1497,lenses[3],0,249,0
1498,lenses[4],0,249,0
1499,len0,0,249,0
1500,lenses[0],9,250,350.0
1501,lenses[1],5,250,350.0
1502,lenses[2],0,250,0
1503,lenses[3],0,250,0
1504,lenses[4],0,250,0
1505,len0,0,250,0
1506,lenses[0],9,251,350.0
1507,lenses[1],5,251,350.0
1508,lenses[2],0,251,0
1509,lenses[3],0,251,0
1510,lenses[4],0,251,0
1511,len0,0,251,0
1512,lenses[0],9,252,350.0
1513,lenses[1],2,252,350.0
1514,lenses[2],0,252,0
1515,lenses[3],0,252,0
1516,lenses[4],0,252,0
1517,len0,0,252,0
1518,lenses[0],9,253,350.0
1519,lenses[1],5,253,350.0
1520,lenses[2],0,253,0
1521,lenses[3],0,253,0
1522,lenses[4],0,253,0
1523,len0,0,253,0
1524,lenses[0],9,254,350.0
1525,lenses[1],5,254,350.0
1526,lenses[2],0,254,0
1527,lenses[3],0,254,0
1528,lenses[4],0,254,0
1529,len0,0,254,0
1530,lenses[0],9,255,350.0
1531,lenses[1],5,255,350.0
1532,lenses[2],0,255,0
1533,lenses[3],0,255,0
1534,lenses[4],0,255,0
1535,len0,0,255,0
1536,lenses[0],9,256,700.0
1537,lenses[1],5,256,700.0
1538,lenses[2],0,256,0
1539,lenses[3],0,256,0
1540,lenses[4],0,256,0
1541,len0,0,256,0
1542,lenses[0],9,257,700.0
1543,lenses[1],5,257,700.0
1544,lenses[2],0,257,0
1545,lenses[3],0,257,0
1546,lenses[4],0,257,0
1547,len0,0,257,0
1548,lenses[0],9,258,700.0
1549,lenses[1],5,258,700.0
1550,lenses[2],0,258,0
1551,lenses[3],0,258,0
1552,lenses[4],0,258,0
1553,len0,0,258,0
1554,lenses[0],9,259,700.0
1555,lenses[1],5,259,700.0
1556,lenses[2],0,259,0
1557,lenses[3],0,259,0
1558,lenses[4],0,259,0
1559,len0,0,259,0
1560,lenses[0],9,260,700.0
1561,lenses[1],5,260,700.0
1562,lenses[2],0,260,0
1563,lenses[3],0,260,0
1564,lenses[4],0,260,0
1565,len0,0,260,0
1566,lenses[0],9,261,700.0
1567,lenses[1],5,261,700.0
1568,lenses[2],0,261,0
1569,lenses[3],0,261,0
1570,lenses[4],0,261,0
1571,len0,0,261,0
1572,lenses[0],9,262,700.0
1573,lenses[1],5,262,700.0
1574,lenses[2],0,262,0
1575,lenses[3],0,262,0
1576,lenses[4],0,262,0
1577,len0,0,262,0
1578,lenses[0],9,263,700.0
1579,lenses[1],5,263,700.0
1580,lenses[2],0,263,0
1581,lenses[3],0,263,0
1582,lenses[4],0,263,0
1583,len0,0,263,0
1584,lenses[0],9,264,700.0
1585,lenses[1],5,264,700.0
1586,lenses[2],0,264,0
1587,lenses[3],0,264,0
1588,lenses[4],0,264,0
1589,len0,0,264,0
1590,lenses[0],9,265,700.0
1591,lenses[1],5,265,700.0
1592,lenses[2],0,265,0
1593,lenses[3],0,265,0
1594,lenses[4],0,265,0
1595,len0,0,265,0
1596,lenses[0],9,266,700.0
1597,lenses[1],5,266,700.0
1598,lenses[2],0,266,0
1599,lenses[3],0,266,0
1600,lenses[4],0,266,0
1601,len0,0,266,0
1602,lenses[0],9,267,700.0
1603,lenses[1],5,267,700.0
1604,lenses[2],0,267,0
1605,lenses[3],0,267,0
1606,lenses[4],0,267,0
1607,len0,0,267,0
1608,lenses[0],9,268,700.0
1609,lenses[1],5,268,700.0
1610,lenses[2],0,268,0
1611,lenses[3],0,268,0
1612,lenses[4],0,268,0
1613,len0,0,268,0
1614,lenses[0],9,269,700.0
1615,lenses[1],5,269,700.0
1616,lenses[2],0,269,0
1617,lenses[3],0,269,0
1618,lenses[4],0,269,0
1619,len0,0,269,0
1620,lenses[0],9,270,700.0
1621,lenses[1],5,270,700.0
1622,lenses[2],0,270,0
1623,lenses[3],0,270,0
1624,lenses[4],0,270,0
1625,len0,0,270,0
1626,lenses[0],9,271,700.0
1627,lenses[1],5,271,700.0
1628,lenses[2],0,271,0
1629,lenses[3],0,271,0
1630,lenses[4],0,271,0
1631,len0,0,271,0
1632,lenses[0],9,272,700.0
1633,lenses[1],5,272,700.0
1634,lenses[2],0,272,0
1635,lenses[3],0,272,0
1636,lenses[4],0,272,0
1637,len0,0,272,0
1638,lenses[0],9,273,700.0
1639,lenses[1],5,273,700.0
1640,lenses[2],0,273,0
1641,lenses[3],0,273,0
1642,lenses[4],0,273,0
1643,len0,0,273,0
